Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo;Visibilidad
funda-almohada-1impd;;;Color;Beige;;;;;8,900.00;;0.05;10.00;10.00;2.00;0;;;;;;;;;;;;;;0.00;
funda-almohada-1impd;;;Color;Gris claro;;;;;8,900.00;;0.05;10.00;10.00;2.00;2;;;;;;;;;;;;;;0.00;
alfombra-bano-6517o;Alfombra baño CORN MAX 60x40cm;BAÑO > ALFOMBRAS PARA BAÑO;;;;;;;13,750.00;;0.10;15.00;15.00;2.00;0;;;SI;NO;"<p>Transforma tu ba&ntilde;o en un espacio de confort con esta alfombra dise&ntilde;ada para ofrecer m&aacute;xima suavidad y funcionalidad, es el complemento perfecto para a&ntilde;adir estilo y comodidad a tu rutina diaria.</p>
<p>&nbsp;</p>
<p><strong>Caracter&iacute;sticas destacadas:</strong></p>
<p>Medidas: 60 x 40 cm</p>
<p>Composici&oacute;n:&nbsp; 60% microfibra premium y 40% algod&oacute;n</p>
<p>&nbsp;</p>
<p><strong>Beneficios adicionales:</strong></p>
<p><strong>S&uacute;per absorbente: </strong>Mantiene tu ba&ntilde;o seco al retener eficazmente la humedad tras cada uso.</p>
<p><strong>Duradera y f&aacute;cil de limpiar:</strong> Material resistente que conserva su forma y funcionalidad despu&eacute;s de cada lavado.</p>
<p><strong>Estilo vers&aacute;til: </strong>Parte de la exclusiva L&iacute;nea Corn Max, con un dise&ntilde;o moderno que complementa cualquier decoraci&oacute;n</p>";absorbente, alfombra, baño, DELUAR, microfibra;Alfombra baño CORN MAX 60x40cm suave y absorbente;Alfombra baño CORN MAX 60x40cm con microfibra y algodón, súper absorbente y duradera. Añade confort y estilo a tu baño. ¡Compra ahora!;DELUAR;SI;;;;;Visible
alfombra-bano-1g33f;Alfombra baño BLOCKS 60x40cm;BAÑO > ALFOMBRAS PARA BAÑO;Color;Vison;;;;;13,750.00;;0.20;15.00;15.00;2.00;0;;;SI;NO;"<p>Sum&aacute; suavidad, absorci&oacute;n y dise&ntilde;o a tu ba&ntilde;o con esta alfombra 100% algod&oacute;n, confeccionada en jacquard premium, que combina calidad, estilo y practicidad en cada detalle.</p>
<p>&nbsp;</p>
<p><strong>Caracter&iacute;sticas principales</strong></p>
<p>Medida: 60 x 40 cm</p>
<p>Composici&oacute;n: 100% algod&oacute;n</p>
<p>L&iacute;nea: Blocks</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>Beneficios del producto</strong></p>
<p><strong>Algod&oacute;n 100% </strong>natural, suave y agradable al tacto.</p>
<p><strong>Alta absorci&oacute;n</strong> que mantiene tus pies secos despu&eacute;s del ba&ntilde;o.</p>
<p>Dise&ntilde;o moderno y <strong>vers&aacute;til </strong>que se adapta a cualquier tipo de ba&ntilde;o.</p>";absorbente, alfombra, algodón, baño, Blocks;Alfombra baño Blocks 60x40cm algodón absorbente;Alfombra de baño Blocks en algodón 100% suave y absorbente, ideal para mantener tus pies secos y decorar con estilo. ¡Compra ahora!;DELUAR;SI;;;;0.00;Visible
alfombra-bano-1g33f;;;Color;Verde agua grisaceo;;;;;13,750.00;;0.20;15.00;15.00;2.00;0;;;;;;;;;;;;;;0.00;
alfombra-bano-1gz0i;Alfombra baño WALL 60x40cm;BAÑO > ALFOMBRAS PARA BAÑO;Color;Beige;;;;;13,750.00;;0.10;15.00;15.00;2.00;0;;;SI;NO;"<p>La Alfombra de Ba&ntilde;o Jacquard Wall es la opci&oacute;n perfecta para a&ntilde;adir comodidad, suavidad y elegancia a tu ba&ntilde;o, con un dise&ntilde;o absorbente y de alta calidad.</p>
<p>&nbsp;</p>
<p><em><strong>Caracter&iacute;sticas Principales:</strong></em></p>
<p>Material: 100% Algod&oacute;n de alta calidad.</p>
<p>Tejido: Jacquard, con un patr&oacute;n que aporta textura y estilo a tu ba&ntilde;o.</p>
<p>Medidas: 60 x 40 cm</p>
<p>Peso: 1300 grs/m&sup2;, ofreciendo una alta capacidad de absorci&oacute;n.</p>
<p>Modelo: Wall</p>
<p>Color: verde grisaceo&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>Beneficios del Producto:</strong></p>
<p><strong>Alta Absorci&oacute;n: </strong>Gracias a su tejido jacquard, ofrece un secado r&aacute;pido y eficiente despu&eacute;s del ba&ntilde;o.</p>
<p><strong>Comodidad y Suavidad:</strong> El algod&oacute;n de 1300 grs/m&sup2; proporciona una sensaci&oacute;n de lujo y confort al pie.</p>
<p><strong>Durabilidad: </strong>Material resistente que garantiza un uso prolongado y f&aacute;cil mantenimiento.</p>
<p><strong>Estilo Elegante</strong>: A&ntilde;ade un toque moderno y elegante a tu ba&ntilde;o con el dise&ntilde;o sofisticado de la colecci&oacute;n Wall.</p>";;Alfombra baño WALL 60x40cm algodón jacquard absorbente;Alfombra de baño WALL de algodón jacquard 60x40cm, alta absorción y diseño elegante. Añade confort y estilo a tu baño. ¡Compre ahora!;DELUAR;SI;;;;0.00;Visible
alfombra-bano-1gz0i;;;Color;Verde Grisaceo;;;;;13,750.00;;0.10;15.00;15.00;2.00;0;;;;;;;;;;;;;;0.00;
juego-cortina-black-out-100-opacidad-ytqqo;Juego cortina BLACK OUT 100% Opacidad;LIVING > CORTINA DE AMBIENTE;Color;Beige;;;;;57,900.00;;0.30;20.00;20.00;2.00;5;;;SI;NO;"<p>Cre&aacute; espacios de descanso y privacidad total con el Juego de Cortinas Black out, que garantiza 100% opacidad y textura premium, combinando funcionalidad, estilo y confort para cualquier ambiente de tu hogar.</p>
<p>&nbsp;</p>
<p><strong>Caracter&iacute;sticas principales</strong></p>
<p>Tipo: Juego de cortinas Black out</p>
<p>Medida: 140 x 210 cm c/pa&ntilde;o</p>
<p>Composici&oacute;n: Microfibra Premium</p>
<p>Color: Beige - Gris</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>Beneficios del producto</strong></p>
<p>100% bloqueo de luz, ideal para dormitorios, living o cualquier espacio de tu hogar.</p>
<p>Calidad premium, suave y resistente al uso diario.</p>
<p>Dise&ntilde;o elegante, combina con cualquier estilo de decoraci&oacute;n.</p>
<p>Aporta confort y privacidad, creando ambientes acogedores y relajantes.</p>
<p>&nbsp;</p>";;;;;SI;;;;0.00;Visible
juego-cortina-black-out-100-opacidad-ytqqo;;;Color;Gris;;;;;57,900.00;;0.30;20.00;20.00;2.00;4;;;;;;;;;;;;;;0.00;
new-bambu-1-1-2-1tcvt;Kit 6 Piezas NEW BAMBU 1 plaza y media;DORMITORIO > SABANAS Y AJUSTABLES > 1 1/2, DORMITORIO > MANTAS/FRAZADAS/ACOLCHADOS;;;;;;;69,900.00;;0.70;20.00;20.00;10.00;1;;;SI;NO;"<p>&iexcl;Renov&aacute; tu dormitorio con el Kit de 6 piezas New Bamb&uacute;! Este completo set de microfibra estampada y matelaseado sonic ofrece suavidad y dise&ntilde;o en cada detalle.</p>
<p><strong>Incluye cover, fundas de almohad&oacute;n y un juego de s&aacute;banas completo; adem&aacute;s, trae una funda de almohada de regalo para sumar confort.</strong></p>
<p>&nbsp;</p>
<p>Tama&ntilde;o:&nbsp;</p>
<p><strong>1 1/2 Plazas:</strong></p>
<p>- Cover (160x240 cm) color beige con lineas blancas + 1 Funda de almohadon haciendo juego (70x50 + 5 cm)</p>
<p>- Juego de sabanas 1 plaza y media: s&aacute;bana superior (150x240 cm) - s&aacute;bana ajustable (90x190x30 cm) - una funda de almohad&oacute;n haciendo juego (70x50cm) color blanca con lineas beige.</p>
<p>- 1 Funda de almohadon lisa color beige (70x50cm)</p>
<p>&nbsp;</p>
<p>Ideal para quienes buscan comodidad, estilo y practicidad con un toque c&aacute;lido. Dale a tu espacio el cuidado que se merece, con calidad y facilidad de mantenimiento. &iexcl;Eleg&iacute; tu tama&ntilde;o y transform&aacute; tu descanso!</p>";;;;;SI;;;;;Visible
new-bambu-1-1-2-rq9ff;Kit 6 Piezas NEW BAMBU 1 plaza y media;DORMITORIO > SABANAS Y AJUSTABLES > 1 1/2, DORMITORIO > MANTAS/FRAZADAS/ACOLCHADOS;;;;;;;69,900.00;;0.70;20.00;20.00;10.00;0;;;SI;NO;"<p>&iexcl;Renov&aacute; tu dormitorio con el Kit de 6 piezas New Bamb&uacute;! Este completo set de microfibra estampada y matelaseado sonic ofrece suavidad y dise&ntilde;o en cada detalle.</p>
<p><strong>Incluye cover, fundas de almohad&oacute;n y un juego de s&aacute;banas completo; adem&aacute;s, trae una funda de almohada de regalo para sumar confort.</strong></p>
<p>&nbsp;</p>
<p>Tama&ntilde;o:&nbsp;</p>
<p><strong>1 1/2 Plazas:</strong></p>
<p>- Cover (160x240 cm) color gris con lineas blancas + 1 Funda de almohadon haciendo juego (70x50 + 5 cm)</p>
<p>- Juego de sabanas 1 plaza y media: s&aacute;bana superior (150x240 cm) - s&aacute;bana ajustable (90x190x30 cm) - una funda de almohad&oacute;n haciendo juego (70x50cm) color blanca con lineas grises</p>
<p>- 1 Funda de almohadon lisa color gris (70x50cm)</p>
<p>&nbsp;</p>
<p>Ideal para quienes buscan comodidad, estilo y practicidad con un toque c&aacute;lido. Dale a tu espacio el cuidado que se merece, con calidad y facilidad de mantenimiento. &iexcl;Eleg&iacute; tu tama&ntilde;o y transform&aacute; tu descanso!</p>";;;;;SI;;;;;Visible
cortina-berlin-1nqxx;Juego Cortinas BERLIN 270x205cm AMPLIAS;LIVING > CORTINA DE AMBIENTE;;;;;;;57,900.00;;0.30;20.00;15.00;2.00;2;;;SI;NO;"<p>Eleg&iacute; la frescura y ligereza de las cortinas Berl&iacute;n de Jean Cartier: tejido s&iacute;mil gasa con cinta fruncidora y una medida extra amplia de 270x205 cm, perfectas para vestir tus ventanas con un estilo moderno y delicado.</p>
<p>&nbsp;</p>
<p><strong>Caracter&iacute;sticas principales</strong></p>
<p>Medida: 270 x 205 cm cada una (ANCHO X LARGO)</p>
<p>Incluye: Cinta fruncidora</p>
<p>Composici&oacute;n: 100% Microfibra Premium</p>
<p>Modelo: Berl&iacute;n</p>
<p>&nbsp;Color: Beige</p>
<p>&nbsp;</p>
<p><strong>Beneficios del producto</strong></p>
<p>Medida s&uacute;per amplia, ideal para ventanales grandes o espacios luminosos.</p>
<p>Tejido s&iacute;mil gasa, aporta frescura, movimiento y un look natural.</p>
<p>Versatilidad decorativa, combina con distintos estilos de ambiente</p>
<p>&nbsp;</p>";;;;;SI;;;;;Visible
cortina-berlin-e6wx7;Juego Cortinas BERLIN 270x205cm AMPLIAS;LIVING > CORTINA DE AMBIENTE;;;;;;;57,900.00;;0.30;20.00;20.00;2.00;2;;;SI;NO;"<p>Eleg&iacute; la frescura y ligereza de las cortinas Berl&iacute;n de Jean Cartier: tejido s&iacute;mil gasa con cinta fruncidora y una medida extra amplia de 270x205 cm, perfectas para vestir tus ventanas con un estilo moderno y delicado.</p>
<p>&nbsp;</p>
<p><strong>Caracter&iacute;sticas principales</strong></p>
<p>Medida: 270 x 205 cm cada una&nbsp; (ANCHO X LARGO)</p>
<p>Incluye: Cinta fruncidora</p>
<p>Composici&oacute;n: 100% Microfibra Premium</p>
<p>Modelo: Berl&iacute;n</p>
<p>&nbsp;Color: Gris</p>
<p>&nbsp;</p>
<p><strong>Beneficios del producto</strong></p>
<p>Medida s&uacute;per amplia, ideal para ventanales grandes o espacios luminosos.</p>
<p>Tejido s&iacute;mil gasa, aporta frescura, movimiento y un look natural.</p>
<p>Versatilidad decorativa, combina con distintos estilos de ambiente</p>
<p>&nbsp;</p>";;;;;SI;;;;;Visible
sabana-18af5;Sabana Lisa Beige Premium 2 1/2;DORMITORIO > SABANAS Y AJUSTABLES > 2 1/2 - Queen;;;;;;;34,900.00;;0.30;15.00;20.00;5.00;4;;;SI;NO;"<p>Viv&iacute; la suavidad extra de la calidad premium en un juego de s&aacute;banas lisas y pr&aacute;cticas, pensado para brindarte confort, frescura y un estilo simple que combina con cualquier dormitorio.</p>
<p>&nbsp;</p>
<p><strong>Caracter&iacute;sticas principales</strong></p>
<p>S&aacute;bana superior: 215 x 230 cm</p>
<p>2 Fundas de almohada: 73 x 50 cm</p>
<p>Colch&oacute;n compatible: 150 x 190 x 18 cm</p>
<p>Composici&oacute;n: Microfibra premium</p>
<p>Color: Vison.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>Beneficios del producto</strong></p>
<p>Tacto extra suave para un descanso m&aacute;s placentero.</p>
<p>Dise&ntilde;o liso y vers&aacute;til que combina con todo tipo de decoraci&oacute;n.</p>
<p>Durabilidad asegurada, conserva color y textura con el uso diario</p>
<p>&nbsp;</p>";;;;;SI;;;;;Visible
sabana-b8tit;Sabana Lisa Gris Premium 2 1/2;DORMITORIO > SABANAS Y AJUSTABLES > 2 1/2 - Queen;;;;;;;34,900.00;;0.40;15.00;20.00;5.00;4;;;SI;NO;"<p>Viv&iacute; la suavidad extra de la calidad premium en un juego de s&aacute;banas lisas y pr&aacute;cticas, pensado para brindarte confort, frescura y un estilo simple que combina con cualquier dormitorio.</p>
<p>&nbsp;</p>
<p><strong>Caracter&iacute;sticas principales</strong></p>
<p>S&aacute;bana superior: 215 x 230 cm</p>
<p>2 Fundas de almohada: 73 x 50 cm</p>
<p>Colch&oacute;n compatible: 150 x 190 x 18 cm</p>
<p>Composici&oacute;n: Microfibra premium</p>
<p>Color: Gris</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>Beneficios del producto</strong></p>
<p>Tacto extra suave para un descanso m&aacute;s placentero.</p>
<p>Dise&ntilde;o liso y vers&aacute;til que combina con todo tipo de decoraci&oacute;n.</p>
<p>Durabilidad asegurada, conserva color y textura con el uso diario</p>
<p>&nbsp;</p>";;;;;SI;;;;;Visible
sabana-495es;Sabana 2 1/2 - Embozo bordado 600HQ;DORMITORIO > SABANAS Y AJUSTABLES > 2 1/2 - Queen;;;;;;;58,900.00;;0.40;15.00;20.00;5.00;2;;;SI;NO;"<p>Dale a tu dormitorio un toque de elegancia y suavidad con nuestro Juego de S&aacute;banas de Jean Cartier, dise&ntilde;ado con un hermoso embozo bordado que imita el efecto piel de durazno, brindando un confort inigualable.</p>
<p>&nbsp;</p>
<p><strong>Caracter&iacute;sticas del producto:</strong></p>
<p><strong>Medidas: 2 plazas y media</strong></p>
<p>S&aacute;bana superior: 230 x 230 cm</p>
<p>S&aacute;bana ajustable: 230 x 260 cm</p>
<p>Para colch&oacute;n: 160 x 190 x 25 cm</p>
<p>2 fundas de almohada: 50 x 75 cm</p>
<p>Composici&oacute;n: Microfibra Premium | Cotton touch</p>
<p>Color: Blanco</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>Beneficios del producto:</strong></p>
<p>Confeccionado en tela suave y duradera para un descanso excepcional.</p>
<p>Embozo bordado que aporta un detalle sofisticado y elegante.</p>
<p>Dise&ntilde;ado para vestir camas con estilo y comodidad.</p>
<p>Calidad duradera que conserva color, forma y textura con el uso diario</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Disfruta de la elegancia y comodidad del Juego de S&aacute;banas con Embozo Bordado de Jean Cartier. Convierte tu cama en un verdadero oasis de confort y estilo. &iexcl;No esperes m&aacute;s para mejorar tus noches!</p>";;;;;SI;;;;;Visible
sabana-xy43f;Sabana 2 1/2 - Embozo bordado 600HQ;DORMITORIO > SABANAS Y AJUSTABLES > 2 1/2 - Queen;;;;;;;58,900.00;;0.40;15.00;20.00;5.00;0;;;SI;NO;"<p>Dale a tu dormitorio un toque de elegancia y suavidad con nuestro Juego de S&aacute;banas de Jean Cartier, dise&ntilde;ado con un hermoso embozo bordado que imita el efecto piel de durazno, brindando un confort inigualable.</p>
<p>&nbsp;</p>
<p><strong>Caracter&iacute;sticas del producto:</strong></p>
<p><strong>Medidas: 2 plazas y media</strong></p>
<p>S&aacute;bana superior: 230 x 230 cm</p>
<p>S&aacute;bana ajustable: 230 x 260 cm</p>
<p>Para colch&oacute;n: 160 x 190 x 25 cm</p>
<p>2 fundas de almohada: 50 x 75 cm</p>
<p>Composici&oacute;n: Microfibra Premium | Cotton touch</p>
<p>Color: Vison suave.&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>Beneficios del producto:</strong></p>
<p>Confeccionado en tela suave y duradera para un descanso excepcional.</p>
<p>Embozo bordado que aporta un detalle sofisticado y elegante.</p>
<p>Dise&ntilde;ado para vestir camas con estilo y comodidad.</p>
<p>Calidad duradera que conserva color, forma y textura con el uso diario</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Disfruta de la elegancia y comodidad del Juego de S&aacute;banas con Embozo Bordado de Jean Cartier. Convierte tu cama en un verdadero oasis de confort y estilo. &iexcl;No esperes m&aacute;s para mejorar tus noches!</p>";;;;;SI;;;;;Visible
camino-mesa-1ahgp;Camino mesa TULUM beige 175x45cm;COCINA > CAMINO DE MESA;;;;;;;10,900.00;;0.10;20.00;15.00;2.00;0;;;SI;NO;"<p>Camino de mesa color crudo con lineas en beige.</p>
<p>&nbsp;</p>
<p>El camino de mesa en color crudo es la elecci&oacute;n ideal para quienes buscan un toque r&uacute;stico en su decoraci&oacute;n. Con medidas de 175x45cm, este camino est&aacute; confeccionado en 100% algod&oacute;n, lo que le otorga una textura suave y natural.</p>
<p>&nbsp;</p>
<p>Los flecos en las puntas a&ntilde;aden un detalle encantador y distintivo. Perfecto para embellecer tu mesa en ocasiones especiales o en el d&iacute;a a d&iacute;a, este camino combina funcionalidad y estilo.</p>
<p>&nbsp;</p>
<p>&iexcl;Incorpora este camino de mesa a tu hogar y transforma tu espacio!</p>";;;;;SI;;;;;Visible
indiv-1jxdt;Setx2 individuales rayados;COCINA > INDIVIDUALES;;;;;;;10,000.00;;0.10;10.00;10.00;2.00;6;;;SI;NO;"<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: Montserrat, sans-serif; font-size: 14px; background-color: #ffffff;"">Pack de individuales rayados X2 unidades confeccionados en tusor rayado premium, 100% algod&oacute;n.&nbsp;</p>
<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: Montserrat, sans-serif; font-size: 14px; background-color: #ffffff;"">Medidas: 40X60 cm</p>
<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: Montserrat, sans-serif; font-size: 14px; background-color: #ffffff;"">Color: Crudo con rayas en beige.</p>
<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: Montserrat, sans-serif; font-size: 14px; background-color: #ffffff;"">Como todo producto de algodon te recomendamos que se lave con agua fr&iacute;a o que la misma no supere los 30&ordm;C, el centrifugado sea lo mas bajo posible y su secado sea a la sombra.&nbsp;</p>";;;;;SI;;;;;Visible
utensilios-1nswj;Setx11 Utensilios + portautensilios MINI;;;;;;;;18,500.00;;0.00;0.00;0.00;0.00;1;;;NO;NO;;;;;;SI;;;;;Oculto
bandeja-1v7go;Bandeja PP Wheat 35cm;COCINA > BAZAR > BANDEJAS - BOWLS - TABLAS, VELAS Y ACCESORIOS > Portavelas y Bandejas;;;;;;;17,500.00;;0.10;2.00;35.00;2.00;1;;;SI;NO;"<p>La Bandeja Redonda (o l&iacute;nea PP Wheat) es la prueba de que se puede tener una mesa incre&iacute;ble y funcional al mismo tiempo. Fabricada en fibra de trigo (PP Wheat), es una opci&oacute;n ecofriendly, s&uacute;per resistente y liviana, ideal para el uso diario o para eventos especiales.</p>
<p>&nbsp;</p>
<p>Su acabado texturado y el borde dorado metalizado le dan ese toque de distinci&oacute;n que transforma una bandeja simple en un objeto de dise&ntilde;o. Es perfecta tanto para servir tragos y caf&eacute;, como para usarla de base decorativa con velas o floreros.</p>
<p>&nbsp;</p>
<p>&iquest;Por qu&eacute; la vas a amar?</p>
<p>Dise&ntilde;o Chic: El borde dorado resalta sobre el material org&aacute;nico, creando un contraste moderno y elegante.</p>
<p>Material Premium: Fabricada en PP Wheat, un material duradero, libre de BPA y m&aacute;s amigable con el medio ambiente.</p>
<p>Versatilidad Total: Usala para servir a tus invitados o como organizador en tu cocina, ba&ntilde;o o dormitorio.</p>
<p>&nbsp;</p>
<p>Especificaciones T&eacute;cnicas:</p>
<p>Medidas: 35 cm (di&aacute;metro) x 2 cm (alto).</p>
<p>Material: Fibra de trigo y polipropileno de alta calidad (PP Wheat).</p>
<p>Color: Tonos neutros con borde dorado.</p>
<p>Caracter&iacute;sticas: Liviana, resistente a ca&iacute;das y f&aacute;cil de limpiar.</p>";;;;;SI;;;;;Visible
trapo-piso-1t59q;Trapito BIENVENIDO 60x48cm;COCINA > REPASADORES, BAÑO > ALFOMBRAS PARA BAÑO, VARIOS > FELPUDOS - EXTERIOR;;;;;;;5,000.00;;0.05;10.00;10.00;2.00;4;;;SI;NO;"<p>rapo de piso 100% algod&oacute;n estampado, mide aproximadamente 60x48cm.</p>
<p>&nbsp;</p>
<p>Estampa realizado en proceso artesanal.&nbsp;</p>
<p>&nbsp;</p>
<p>Recomendamos lavar antes de su uso.&nbsp;</p>
<p>&nbsp;</p>
<p>&iquest;Como recomendamos lavar el trapito para que quede impecable para su uso? Llevar a lavaropas con agua fr&iacute;a ya que nuestro trapito es 100% algod&oacute;n y al usar agua caliente el mismo puede achicarse.</p>";;;;;SI;;;;;Visible
sabana-premium-king-600h-oxford-soft-s60eb;Sabana Premium King 600H Oxford Soft;DORMITORIO > SABANAS Y AJUSTABLES > King;;;;;;;76,500.00;;0.50;15.00;20.00;10.00;1;;;SI;NO;"<p>Juego de S&aacute;banas King 600h Embozo Premium Oxford Soft.</p>
<p>Dise&ntilde;ado para ofrecerte el m&aacute;ximo confort, este juego cuenta con un lujoso n&uacute;mero de hilos de 600 que proporciona una suavidad inigualable y un tacto similar al algod&oacute;n. La microfibra premium con la que est&aacute; confeccionado es hipoalerg&eacute;nica, ideal para quienes buscan un descanso respetuoso con la piel y el medio ambiente.</p>
<p>&nbsp;</p>
<p>Color: Gris.S</p>
<p>Su tama&ntilde;o King se adapta perfectamente a colchones de hasta 200 cm de ancho y 200 cm de largo, garantizando un ajuste preciso y c&oacute;modo.</p>
<p>&nbsp;</p>
<p>Las dimensiones generosas de la s&aacute;bana plana, con un ancho de 245 cm y un largo de 290 cm, permiten un sobresaliente despliegue, mientras que la s&aacute;bana ajustable se adapta a colchones de hasta 30 cm de altura. Incluye dos fundas de almohada de 50 cm por 90 cm, pensadas para ofrecer un conjunto arm&oacute;nico y estilizado.</p>
<p>&nbsp;</p>
<p>El cuidado de estas s&aacute;banas es sencillo, ya que son aptas para lavado y secado, y pueden ser planchadas para mantener su aspecto impecable. Mejora la calidad de tu sue&ntilde;o y la est&eacute;tica de tu habitaci&oacute;n con el Juego de S&aacute;banas King 600h Embozo Premium Oxford Soft.</p>";;;;;SI;;;;0.00;Visible
juego-cortina-simil-tusor-gris-medio-ctkko;Juego Cortina Simil tusor Gris medio;LIVING > CORTINA DE AMBIENTE;;;;;;;47,500.00;;0.30;20.00;15.00;5.00;3;;;SI;NO;"<p>Juego de Cortinas S&iacute;mil Tusor con Presillas Escondidas</p>
<p>Juego de cortinas de s&iacute;mil tusor, con un dise&ntilde;o elegante que presenta presillas escondidas en el reverso para una instalaci&oacute;n limpia y refinada.</p>
<p>&nbsp;</p>
<p><strong>Caracter&iacute;sticas principales:</strong></p>
<p>Medidas: 2 pa&ntilde;os de 135 x 210 cm.</p>
<p>Composici&oacute;n: 100% Microfibra Premium.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>Beneficios del producto:</strong></p>
<p>Instalaci&oacute;n discreta y sofisticada: Las presillas escondidas ofrecen un aspecto m&aacute;s pulido y sin ganchos visibles, lo que contribuye a un estilo moderno y minimalista.</p>
<p>Textura elegante: El s&iacute;mil tusor tiene un acabado de alta calidad, suave al tacto y perfecto para aportar una atm&oacute;sfera acogedora y elegante a cualquier espacio.</p>
<p>Composici&oacute;n premium: Fabricadas con microfibra premium, estas cortinas son resistentes y f&aacute;ciles de mantener, adem&aacute;s de ser ligeras y suaves.</p>";;;;;SI;;;;0.00;Visible
funda-almohadon-7ru7t;Funda almohadón Rayas grandes 45x45cm;LIVING > ALMOHADONES Y FUNDAS;Color;Gris;;;;;9,000.00;;0.05;10.00;10.00;2.00;1;;;SI;NO;"<p>Funda de almohad&oacute;n Rayas Grandes 45x45cm</p>
<p>&nbsp;</p>
<p>Esta funda de almohad&oacute;n combina estilo y funcionalidad con su dise&ntilde;o en tusor a rayas, ideal para renovar tus espacios.</p>
<p>&nbsp;</p>
<p>Su tama&ntilde;o de 45x45cm es perfecto para cualquier ambiente, mientras que su parte trasera en tela color crudo aporta un detalle sutil y elegante.</p>
<p>&nbsp;</p>
<p>Fabricada con materiales de calidad, es una opci&oacute;n duradera y f&aacute;cil de combinar. Dale un toque fresco y sofisticado a tu decoraci&oacute;n con esta funda pr&aacute;ctica y est&eacute;tica.</p>";;;;;SI;;;;0.00;Visible
funda-almohadon-7ru7t;;;Color;Verde;;;;;9,000.00;;0.05;10.00;10.00;2.00;1;;;;;;;;;;;;;;0.00;
cubiertos-10rnq;Setx16 Cubiertos GOLD;COCINA > BAZAR > CUBIERTOS - VAJILLA;;;;;;;49,900.00;;0.50;15.00;15.00;5.00;3;;;SI;NO;"<p>Set de 24 piezas cubiertos GOLD.</p>
<p>En color Dorado Mate, que aporta versatilidad y elegancia.</p>
<p>Su notable material de acero inoxidable hacen del set resistente y duradero.</p>
<p>Dise&ntilde;o de mango sofisticado y moderno.</p>
<p>&nbsp;</p>
<p>Caracter&iacute;sticas:</p>
<p>&nbsp;</p>
<p>Piezas: 16 unid.</p>
<p>&nbsp;</p>
<p>4 Tenedores 20cm</p>
<p>4 cuchillos 22cm</p>
<p>4 Cucharas soperas 20cm</p>
<p>4 Cucharas postre 15cm</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Material: Acero Inoxidable</p>
<p>Apto lavavajillas: no</p>
<p>Origen:China</p>";;;;;SI;;;;;Visible
cubiertos-147b7;Setx24 Cubiertos BLACK;COCINA > BAZAR > CUBIERTOS - VAJILLA;;;;;;;64,900.00;;0.5;15.00;15.00;15.00;11;;;SI;NO;"<p><strong>Set de 24 piezas cubiertos BLACK.&nbsp;</strong></p>
<p>En color negro mate, que aporta versatilidad y elegancia.</p>
<p>Su notable material de acero inoxidable hacen del set resistente y duradero.</p>
<p>Dise&ntilde;o de mango sofisticado y moderno.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Caracter&iacute;sticas:</p>
<p>&nbsp;</p>
<p>Piezas: 24 unid.</p>
<p>6 Tenedores 20cm</p>
<p>6 cuchillos 22cm</p>
<p>6 Cucharas soperas 20cm</p>
<p>6 Cucharas postre 15cm</p>
<p>&nbsp;</p>
<p>Material: Acero Inoxidable</p>
<p>Apto lavavajillas: no</p>
<p>Origen:China</p>";;;;;SI;;;;;Visible
